Problem size,time (basic),space (basic),time (efficient),space (efficient)
16,5.9206582978367805,50.7424,11.321874998509884,105.06559999999999
64,6.090645901858807,50.7424,12.126995898783207,104.86080000000001
128,6.393062494695187,50.742399999999975,12.938841596245766,155.20559999999998
256,6.798579201102257,50.7424,13.476933300495148,155.1928
384,7.845425002276897,50.7424,14.396925002336502,155.2424
512,9.811904102563858,50.7424,14.744491703808308,209.7248
768,10.103854201734066,104.96320000000003,19.72625420242548,260.12479999999994
1024,11.140208296477795,155.50159999999997,17.771787501871586,364.904
1280,11.660879202187061,210.02239999999998,20.31060829758644,524.2888
1536,10.709287494421005,260.7672,20.496562495827675,679.6632
2048,11.052379094064236,470.788,23.69847920536995,1048.5928000000001
2560,13.137945897877216,734.8248000000001,23.873925000429153,1572.868
3072,15.818320900201797,995.692,28.01121660321951,2202.032
3584,15.340591698884964,1364.3792,29.37891250103712,716.0255999999999
3968,16.246241606771946,1625.3752,29.67385420203209,1135.9736
